freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,FC_E,C0350-0370,KTOE,PT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,RO	195.686 	173.641 	168.983 	158.976 	150.237 	148.013 	148.202 	145.021 	150.476 	123.713 	59.585 	41.098 
A,FC_E,C0350-0370,KTOE,RS	33.009 	46.647 	5.422 	8.790 	10.056 	19.082 	19.089 	13.688 	15.404 	24.850 	45.847 	: 
A,FC_E,C0350-0370,KTOE,SE	87.597 	85.469 	75.215 	90.972 	87.661 	77.365 	71.303 	75.924 	66.681 	76.526 	76.505 	82.146 
A,FC_E,C0350-0370,KTOE,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,SK	380.431 	413.879 	401.213 	427.988 	433.976 	441.218 	345.108 	290.733 	399.947 	436.130 	383.085 	340.986 
A,FC_E,C0350-0370,KTOE,TR	397.206 	441.540 	511.266 	461.711 	311.873 	360.600 	289.470 	423.768 	576.021 	563.332 	470.898 	: 
A,FC_E,C0350-0370,KTOE,UA	2948.667 	2670.307 	2172.838 	2280.926 	1757.524 	1797.564 	1780.131 	1711.517 	: 	: 	: 	: 
A,FC_E,C0350-0370,KTOE,UK	81.439 	76.015 	105.940 	82.882 	79.149 	66.332 	102.510 	: 	: 	: 	: 	: 
A,FC_E,C0350-0370,KTOE,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,E7000,KTOE,AL	592.777 	560.877 	507.051 	472.829 	512.164 	523.207 	531.636 	543.101 	573.146 	566.422 	558.424 	: 
A,FC_E,E7000,KTOE,AT	5258.030 	5176.188 	5258.302 	5342.923 	5424.138 	5455.284 	5461.080 	5371.567 	5601.980 	5497.872 	5361.104 	5439.435 
A,FC_E,E7000,KTOE,BA	: 	910.318 	917.885 	953.396 	980.052 	985.039 	945.228 	854.342 	931.212 	912.984 	887.274 	: 
A,FC_E,E7000,KTOE,BE	7073.414 	6920.335 	6969.407 	6999.269 	6994.850 	7035.348 	6943.792 	6716.801 	6868.426 	6552.502 	6360.327 	6613.947 
A,FC_E,E7000,KTOE,BG	2367.326 	2379.536 	2435.598 	2484.781 	2571.679 	2572.923 	2598.038 	2460.016 	2662.920 	2641.375 	2608.379 	2702.732 
A,FC_E,E7000,KTOE,CY	337.182 	340.966 	351.800 	378.283 	390.525 	401.088 	406.151 	376.341 	399.790 	417.756 	421.459 	454.323 
A,FC_E,E7000,KTOE,CZ	4575.838 	4575.752 	4684.179 	4802.408 	4936.132 	4995.930 	5022.911 	4909.718 	5158.196 	4984.601 	4785.505 	4725.127 
A,FC_E,E7000,KTOE,DE	44910.576 	44003.181 	44277.558 	44501.634 	44621.926 	43800.000 	42692.605 	41464.058 	42969.690 	41031.814 	39895.701 	40566.982 
A,FC_E,E7000,KTOE,DK	2674.635 	2646.174 	2649.097 	2673.624 	2671.837 	2639.039 	2644.018 	2601.728 	2772.896 	2649.465 	2619.359 	2739.709 
A,FC_E,E7000,KTOE,EE	586.414 	593.809 	589.166 	627.601 	621.882 	644.110 	629.144 	617.374 	677.866 	614.081 	516.062 	586.284 
A,FC_E,E7000,KTOE,EL	4195.271 	4256.234 	4366.896 	4588.392 	4640.535 	4253.667 	4316.191 	4086.790 	4234.088 	4138.275 	3939.512 	4257.874 
A,FC_E,E7000,KTOE,ES	19783.921 	19509.630 	19951.677 	19992.691 	20558.985 	20504.299 	20165.864 	18886.930 	19594.153 	19292.003 	19146.428 	19773.377 
A,FC_E,E7000,KTOE,EU27_2020	211567.973 	207106.300 	210606.680 	213268.151 	215366.455 	215364.443 	213024.414 	204976.120 	214147.228 	206872.984 	201207.247 	205722.376 
A,FC_E,E7000,KTOE,FI	6875.408 	6805.761 	6749.527 	6960.705 	6968.100 	7116.853 	6991.402 	6612.038 	7058.813 	6609.458 	6378.676 	6561.565 
A,FC_E,E7000,KTOE,FR	38772.003 	36578.005 	37405.988 	38069.076 	37778.625 	37584.029 	37119.931 	35370.543 	37217.315 	35621.338 	34178.828 	34244.572 
A,FC_E,E7000,KTOE,GE	780.224 	841.445 	851.763 	901.720 	963.758 	1026.423 	1036.913 	987.042 	1127.997 	1150.946 	: 	: 
A,FC_E,E7000,KTOE,HR	1295.959 	1275.408 	1319.261 	1315.563 	1373.921 	1390.817 	1389.114 	1308.289 	1418.349 	1396.793 	1402.752 	1437.061 
A,FC_E,E7000,KTOE,HU	2998.538 	2986.844 	3120.464 	3194.497 	3309.802 	3389.338 	3458.469 	3443.336 	3586.930 	3551.591 	3456.320 	3608.340 
A,FC_E,E7000,KTOE,IE	2137.714 	2133.661 	2217.439 	2268.047 	2289.772 	2396.215 	2442.300 	2460.972 	2572.611 	2607.153 	2714.162 	2825.267 
A,FC_E,E7000,KTOE,IS	1446.518 	1447.120 	1502.150 	1487.790 	1538.412 	1589.626 	1567.223 	1536.439 	1577.417 	1622.815 	1625.038 	: 
A,FC_E,E7000,KTOE,IT	24711.780 	24204.471 	24719.089 	24593.895 	25104.499 	25200.436 	25101.693 	23662.955 	25124.684 	24676.510 	23978.050 	24419.081 
A,FC_E,E7000,KTOE,LT	769.991 	794.239 	803.267 	838.349 	864.936 	894.093 	906.371 	890.396 	959.089 	916.836 	878.538 	930.052 
A,FC_E,E7000,KTOE,LU	532.978 	531.557 	535.144 	547.419 	549.723 	555.349 	550.039 	526.183 	549.687 	530.149 	520.839 	532.763 
A,FC_E,E7000,KTOE,LV	565.434 	565.950 	555.546 	557.352 	557.579 	572.841 	570.637 	560.942 	579.448 	555.846 	540.068 	560.013 
A,FC_E,E7000,KTOE,MD	313.414 	313.758 	316.939 	311.436 	318.487 	330.267 	327.859 	327.343 	354.944 	347.377 	339.192 	: 
